1,Alba,AB,380976
2,Arad,AR,473946
3,Arges,AG,646333
4,Bacau,BC,746566
5,Bihor,BH,619102
6,Bistrita Nasaud,BN,329188
7,Botosani,BT,455973
8,Braila,BR,630807
9,Brasov,BV,356196
10,Bucuresti,B,2106144
11,Buzau,BZ,478811
12,Calarasi,CL,317293
13,Caras Severin,CS,328047
14,Cluj,CJ,721955
15,Constanta,CT,769768
16,Covasna,CV,228732
17,Dambovita,DB,528426
18,Dolj,DJ,700117
19,Galati,GL,631669
20,Giurgiu,GR,276781
21,Gorj,GJ,366261
22,Harghita,HR,333674
23,Hunedoara,HD,469853
24,Ialomita,IL,293658
25,Iasi,IS,919049
26,Ilfov,IF,390751
27,Maramures,MM,525765
28,Mehedinti,MH,286678
29,Mures,MS,595948
30,Neamt,NT,577359
31,Olt,OT,450094
32,Prahova,PH,809052
33,Salaj,SJ,247537
34,Satu Mare,SM,390639
35,Sibiu,SB,464202
36,Suceava,SV,743645
37,Teleorman,TR,389433
38,Timis,TM,742886
39,Tulcea,TL,244249
40,Valcea,VL,403171
41,Vaslui,VS,479815
42,Vrancea,VN,391169
43,Diaspora,DI,0